sc_time,sc_routekey,sc_stopkey
5:59 PM,5,50
6:02 PM,5,51
6:25 PM,5,1
6:34 PM,5,16
6:40 PM,5,44
6:43 PM,5,45
6:45 PM,5,46
6:51 PM,5,47
6:53 PM,5,48
6:57 PM,5,49
7:03 PM,5,50
7:06 PM,5,51
7:14 PM,5,1
7:23 PM,5,16
7:29 PM,5,44
7:32 PM,5,45
7:34 PM,5,46
7:40 PM,5,47
7:42 PM,5,48
7:46 PM,5,49
7:52 PM,5,50
7:55 PM,5,51
8:18 PM,5,1
8:27 PM,5,16
8:33 PM,5,44
8:36 PM,5,45
8:38 PM,5,46
8:44 PM,5,47
8:46 PM,5,48
8:50 PM,5,49
8:56 PM,5,50
8:59 PM,5,51
9:07 PM,5,1
9:16 PM,5,16
9:22 PM,5,44
9:25 PM,5,45
9:27 PM,5,46
9:33 PM,5,47
9:35 PM,5,48
9:39 PM,5,49
9:45 PM,5,50
9:48 PM,5,51
9:56 PM,5,1
6:35 AM,6,52
6:39 AM,6,16
6:42 AM,6,54
6:44 AM,6,6
6:48 AM,6,56
6:52 AM,6,7
7:03 AM,6,1
7:13 AM,6,6
7:16 AM,6,59
7:19 AM,6,52
7:22 AM,6,61
7:30 AM,6,1
7:39 AM,6,52
7:43 AM,6,16
7:46 AM,6,54
7:48 AM,6,6
7:52 AM,6,56
7:56 AM,6,7
8:22 AM,6,1
8:32 AM,6,6
8:35 AM,6,59
8:38 AM,6,52
8:41 AM,6,61
8:49 AM,6,1
8:58 AM,6,52
9:02 AM,6,16
9:05 AM,6,54
9:07 AM,6,6
9:11 AM,6,56
9:15 AM,6,7
9:26 AM,6,1
9:36 AM,6,6
9:39 AM,6,59
9:42 AM,6,52
9:45 AM,6,61
9:53 AM,6,1
10:02 AM,6,52
10:06 AM,6,16
10:09 AM,6,54
10:11 AM,6,6
10:15 AM,6,56
10:19 AM,6,7
10:30 AM,6,1
10:40 AM,6,6
10:43 AM,6,59
10:46 AM,6,52
10:49 AM,6,61
10:57 AM,6,1
11:06 AM,6,52
11:10 AM,6,16
11:13 AM,6,54
11:15 AM,6,6
11:19 AM,6,56
11:23 AM,6,7
11:34 AM,6,1
11:44 AM,6,6
11:47 AM,6,59
11:50 AM,6,52
11:53 AM,6,61
12:16 AM,6,1
12:25 AM,6,52
12:29 AM,6,16
12:32 AM,6,54
12:34 AM,6,6
12:38 AM,6,56
12:42 AM,6,7
12:53 AM,6,1
1:03 PM,6,6
1:06 PM,6,59
1:09 PM,6,52
1:12 PM,6,61
1:20 PM,6,1
1:29 PM,6,52
1:33 PM,6,16
1:36 PM,6,54
1:38 PM,6,6
1:42 PM,6,56
1:46 PM,6,7
1:57 PM,6,1
2:07 PM,6,6
2:10 PM,6,59
2:13 PM,6,52
2:19 PM,6,61
2:27 PM,6,1
2:36 PM,6,52
2:40 PM,6,16
2:43 PM,6,54
2:45 PM,6,6
2:49 PM,6,56
2:53 PM,6,7
3:04 PM,6,1
3:14 PM,6,6
3:17 PM,6,59
3:20 PM,6,52
3:23 PM,6,61
3:31 PM,6,1
3:40 PM,6,52
3:44 PM,6,16
3:47 PM,6,54
3:49 PM,6,6
3:53 PM,6,56
3:57 PM,6,7
4:23 PM,6,1
4:33 PM,6,6
4:36 PM,6,59
4:39 PM,6,52
4:42 PM,6,61
4:50 PM,6,1
4:59 PM,6,52
5:03 PM,6,16
5:06 PM,6,54
5:08 PM,6,6
5:12 PM,6,56
5:16 PM,6,7
5:27 PM,6,1
5:37 PM,6,6
5:40 PM,6,59
5:43 PM,6,52
5:46 PM,6,61
5:54 PM,6,1
6:03 PM,6,52
6:07 PM,6,16
6:10 PM,6,54
6:12 PM,6,6
6:16 PM,6,56
6:20 PM,6,7
6:31 PM,6,1
6:41 PM,6,6
6:44 PM,6,59
6:47 PM,6,52
6:50 PM,6,61
6:58 PM,6,1
7:07 PM,6,52
7:11 PM,6,16
7:14 PM,6,54
7:16 PM,6,6
7:20 PM,6,56
7:24 PM,6,7
7:35 PM,6,1
7:45 PM,6,6
7:48 PM,6,59
7:51 PM,6,52
7:54 PM,6,61
8:02 PM,6,1
8:11 PM,6,52
8:15 PM,6,16
8:18 PM,6,54
8:20 PM,6,6
8:24 PM,6,56
8:28 PM,6,7
8:54 PM,6,1
9:04 PM,6,6
9:07 PM,6,59
9:10 PM,6,52
9:13 PM,6,61
9:21 PM,6,1
9:30 PM,6,52
9:34 PM,6,16
9:37 PM,6,54
9:39 PM,6,6
9:43 PM,6,56
9:47 PM,6,7
9:58 PM,6,1
10:08 PM,6,6
10:11 PM,6,59
10:14 PM,6,52
10:17 PM,6,61
10:25 PM,6,1
REQ,6,52
REQ,6,16
REQ,6,54
REQ,6,6
REQ,6,56
REQ,6,7
REQ,6,6
REQ,6,59
REQ,6,52
REQ,6,61
8:30 AM,7,52
8:34 AM,7,16
8:37 AM,7,54
8:39 AM,7,6
8:43 AM,7,56
8:47 AM,7,7
8:58 AM,7,1
9:08 AM,7,6
9:11 AM,7,59
9:14 AM,7,52
9:17 AM,7,61
9:25 AM,7,1
9:34 AM,7,52
9:38 AM,7,16
9:41 AM,7,54
9:43 AM,7,6
9:47 AM,7,56
9:51 AM,7,7
10:17 AM,7,1
10:27 AM,7,6
10:30 AM,7,59
10:33 AM,7,52
10:36 AM,7,61
10:44 AM,7,1
10:53 AM,7,52
10:57 AM,7,16
11:00 AM,7,54
11:02 AM,7,6
11:06 AM,7,56
11:10 AM,7,7
11:21 AM,7,1
11:31 AM,7,6
11:34 AM,7,59
11:37 AM,7,52
11:40 AM,7,61
11:48 AM,7,1
11:57 AM,7,52
12:01 PM,7,16
12:04 PM,7,54
12:06 PM,7,6
12:10 PM,7,56
12:14 PM,7,7
12:25 PM,7,1
12:35 PM,7,6
12:38 PM,7,59
12:41 PM,7,52
12:44 PM,7,61
12:52 PM,7,1
1:01 PM,7,52
1:05 PM,7,16
1:08 PM,7,54
1:10 PM,7,6
1:14 PM,7,56
1:18 PM,7,7
1:29 PM,7,1
1:39 PM,7,6
1:42 PM,7,59
1:45 PM,7,52
1:48 PM,7,61
2:11 PM,7,1
2:20 PM,7,52
2:24 PM,7,16
2:27 PM,7,54
2:29 PM,7,6
2:33 PM,7,56
2:37 PM,7,7
2:48 PM,7,1
2:58 PM,7,6
3:01 PM,7,59
3:04 PM,7,52
3:07 PM,7,61
3:15 PM,7,1
3:24 PM,7,52
3:28 PM,7,16
3:31 PM,7,54
3:33 PM,7,6
3:37 PM,7,56
3:41 PM,7,7
3:52 PM,7,1
4:02 PM,7,6
4:05 PM,7,59
4:08 PM,7,52
4:11 PM,7,61
4:22 PM,7,1
4:31 PM,7,52
4:35 PM,7,16
4:38 PM,7,54
4:40 PM,7,6
4:44 PM,7,56
4:48 PM,7,7
4:59 PM,7,1
5:09 PM,7,6
5:12 PM,7,59
5:15 PM,7,52
5:18 PM,7,61
5:41 PM,7,1
5:50 PM,7,52
5:54 PM,7,16
5:57 PM,7,54
5:59 PM,7,6
6:03 PM,7,56
6:07 PM,7,7
6:18 PM,7,1
6:28 PM,7,6
6:31 PM,7,59
6:34 PM,7,52
6:37 PM,7,61
6:45 PM,7,1
6:54 PM,7,52
6:58 PM,7,16
7:01 PM,7,54
7:03 PM,7,6
7:07 PM,7,56
7:11 PM,7,7
7:22 PM,7,1
7:32 PM,7,6
7:35 PM,7,59
7:38 PM,7,52
7:41 PM,7,61
8:04 PM,7,1
8:13 PM,7,52
8:17 PM,7,16
8:20 PM,7,54
8:22 PM,7,6
8:26 PM,7,56
8:30 PM,7,7
8:41 PM,7,1
8:51 PM,7,6
8:54 PM,7,59
8:57 PM,7,52
9:00 PM,7,61
9:08 PM,7,1
9:17 PM,7,52
9:21 PM,7,16
9:24 PM,7,54
9:26 PM,7,6
9:30 PM,7,56
9:34 PM,7,7
9:45 PM,7,1
REQ,7,6
REQ,7,59
REQ,7,52
REQ,7,61
6:30 AM,8,62
6:33 AM,8,63
6:35 AM,8,64
6:40 AM,8,65
6:46 AM,8,7
6:57 AM,8,1
7:18 AM,8,67
7:20 AM,8,68
7:22 AM,8,69
REQ,8,70
7:38 AM,8,62
7:41 AM,8,63
7:43 AM,8,64
7:48 AM,8,65
7:54 AM,8,7
8:20 AM,8,1
8:41 AM,8,67
8:43 AM,8,68
8:45 AM,8,69
REQ,8,70
9:01 AM,8,62
9:04 AM,8,63
9:06 AM,8,64
9:11 AM,8,65
9:17 AM,8,7
9:28 AM,8,1
9:49 AM,8,67
9:51 AM,8,68
9:53 AM,8,69
REQ,8,70
10:09 AM,8,62
10:12 AM,8,63
10:14 AM,8,64
10:19 AM,8,65
10:25 AM,8,7
10:36 AM,8,1
10:57 AM,8,67
10:59 AM,8,68
11:01 AM,8,69
REQ,8,70
11:17 AM,8,62
11:20 AM,8,63
11:22 AM,8,64
11:27 AM,8,65
11:33 AM,8,7
11:44 AM,8,1
12:05 PM,8,67
12:07 PM,8,68
12:09 PM,8,69
REQ,8,70
12:25 PM,8,62
12:28 PM,8,63
12:30 PM,8,64
12:35 PM,8,65
12:41 PM,8,7
1:07 PM,8,1
1:28 PM,8,67
1:30 PM,8,68
1:32 PM,8,69
REQ,8,70
1:48 PM,8,62
1:51 PM,8,63
1:53 PM,8,64
1:58 PM,8,65
2:04 PM,8,7
2:15 PM,8,1
2:36 PM,8,67
2:43 PM,8,68
2:45 PM,8,69
REQ,8,70
3:01 PM,8,62
3:04 PM,8,63
3:06 PM,8,64
3:11 PM,8,65
3:17 PM,8,7
3:28 PM,8,1
3:49 PM,8,67
3:51 PM,8,68
3:53 PM,8,69
REQ,8,70
4:09 PM,8,62
4:12 PM,8,63
4:14 PM,8,64
4:19 PM,8,65
4:25 PM,8,7
4:51 PM,8,1
5:12 PM,8,67
5:14 PM,8,68
5:16 PM,8,69
REQ,8,70
5:32 PM,8,62
5:35 PM,8,63
5:37 PM,8,64
5:42 PM,8,65
5:48 PM,8,7
5:59 PM,8,1
6:20 PM,8,67
6:22 PM,8,68
6:24 PM,8,69
REQ,8,70
6:40 PM,8,62
6:43 PM,8,63
6:45 PM,8,64
6:50 PM,8,65
6:56 PM,8,7
7:07 PM,8,1
7:28 PM,8,67
7:30 PM,8,68
7:32 PM,8,69
REQ,8,70
7:48 PM,8,62
7:51 PM,8,63
7:53 PM,8,64
7:58 PM,8,65
8:04 PM,8,7
8:30 PM,8,1
8:51 PM,8,67
8:53 PM,8,68
8:55 PM,8,69
REQ,8,70
9:11 PM,8,62
9:14 AM,8,63
9:16 PM,8,64
9:21 PM,8,65
9:27 PM,8,7
9:38 PM,8,1
9:59 PM,8,67
10:01 PM,8,68
10:03 PM,8,69
REQ,8,70
REQ,8,62
REQ,8,63
REQ,8,64
REQ,8,65
REQ,8,7
REQ,8,1
9:00 AM,9,71
9:07 AM,9,1
REQ,9,72
9:16 AM,9,73
9:19 AM,9,35
9:24 AM,9,52
9:27 AM,9,71
9:34 AM,9,1
REQ,9,72
9:43 AM,9,73
9:46 AM,9,35
9:51 AM,9,52
9:54 AM,9,71
10:16 AM,9,1
REQ,9,72
10:25 AM,9,73
10:28 AM,9,35
3:00 PM,9,52
10:36 AM,9,71
10:43 AM,9,1
REQ,9,72
10:52 AM,9,73
10:55 AM,9,35
11:00 AM,9,52
11:03 AM,9,71
11:10 AM,9,1
REQ,9,72
11:19 AM,9,73
11:22 AM,9,35
11:27 AM,9,52
11:30 AM,9,71
11:37 AM,9,1
REQ,9,72
11:46 AM,9,73
11:49 AM,9,35
11:54 AM,9,52
11:57 AM,9,71
12:04 PM,9,1
REQ,9,72
12:13 PM,9,73
12:16 PM,9,35
12:21 PM,9,52
12:24 PM,9,71
12:31 PM,9,1
REQ,9,72
12:40 PM,9,73
12:43 PM,9,35
12:48 PM,9,52
12:51 PM,9,71
12:58 PM,9,1
REQ,9,72
1:07 PM,9,73
1:10 PM,9,35
1:15 PM,9,52
1:18 PM,9,71
1:40 PM,9,1
REQ,9,72
1:49 PM,9,73
1:52 PM,9,35
1:57 PM,9,52
2:00 AM,9,71
2:07 PM,9,1
REQ,9,72
2:16 PM,9,73
2:19 PM,9,35
2:24 PM,9,52
2:27 PM,9,71
2:34 AM,9,1
REQ,9,72
2:43 PM,9,73
2:46 PM,9,35
2:51 PM,9,52
2:54 PM,9,71
3:01 PM,9,1
REQ,9,72
3:10 PM,9,73
3:13 PM,9,35
3:18 PM,9,52
3:21 PM,9,71
3:43 PM,9,1
REQ,9,72
3:52 PM,9,73
3:55 PM,9,35
4:00 PM,9,52
4:03 PM,9,71
4:10 PM,9,1
REQ,9,72
4:24 PM,9,73
4:27 PM,9,35
4:32 PM,9,52
4:35 PM,9,71
4:42 PM,9,1
REQ,9,72
4:51 PM,9,73
4:54 PM,9,35
4:59 PM,9,52
5:02 PM,9,71
5:09 PM,9,1
REQ,9,72
5:18 PM,9,73
5:21 PM,9,35
5:26 PM,9,52
5:29 PM,9,71
5:36 PM,9,1
REQ,9,72
5:45 PM,9,73
5:48 PM,9,35
5:53 PM,9,52
5:56 PM,9,71
6:18 PM,9,1
REQ,9,72
6:27 PM,9,73
6:30 PM,9,35
6:35 PM,9,52
6:38 PM,9,71
6:45 PM,9,1
REQ,9,72
6:54 PM,9,73
6:57 PM,9,35
7:02 PM,9,52
7:05 PM,9,71
7:12 PM,9,1
REQ,9,72
7:21 PM,9,73
7:24 PM,9,35
7:29 PM,9,52
7:32 PM,9,71
7:39 PM,9,1
REQ,9,72
7:48 PM,9,73
7:51 PM,9,35
7:56 PM,9,52
7:59 PM,9,71
8:06 PM,9,1
REQ,9,72
8:15 PM,9,73
8:18 PM,,35
8:23 PM,9,52
8:26 PM,9,71
8:33 PM,9,1
REQ,9,72
8:42 PM,9,73
8:45 PM,9,35
8:50 PM,9,52
8:53 PM,9,71
9:00 PM,9,1
REQ,9,72
9:09 PM,9,73
9:12 PM,9,35
9:17 PM,9,52
9:20 PM,9,71
9:42 PM,9,1
REQ,9,72
9:51 PM,9,73
9:54 PM,9,35
9:59 PM,9,52
10:02 PM,9,71
10:09 PM,9,1
REQ,9,72
REQ,9,73
REQ,9,35
REQ,9,52
REQ,9,71